time_sec,total_area_um2,num_active_islands,total_area_um2_smooth
506.2,88674.069,24,91974.877249
506.233,88674.069,24,91970.994009
506.267,92090.19,30,91967.11076899999
506.3,92090.19,30,91963.238592
506.333,92090.19,30,91959.366415
506.367,92090.19,30,91955.494238
506.4,92090.19,30,91949.346696
506.433,92090.19,30,91947.822409
506.467,92090.19,30,91946.29812200001
506.5,91817.29400000001,29,91944.773835
506.533,91271.50200000001,28,91943.24954799999
506.567,91271.50200000001,28,91941.72526100001
506.6,91271.50200000001,28,91942.50461
506.633,91271.50200000001,28,91943.283959
506.667,91271.50200000001,28,91941.51996499998
506.7,91271.50200000001,28,91939.75597099999
506.733,99994.34700000001,32,91937.991977
506.767,99994.34700000001,32,91935.04174700001
506.8,99994.34700000001,32,91932.124708
506.833,99994.34700000001,32,91929.207669
506.867,99994.34700000001,32,91924.341021
506.9,99994.34700000001,32,91919.47437299999
506.933,99994.34700000001,32,91914.91995799998
506.967,99994.34700000001,32,91910.36554299999
507.0,93155.96,26,91905.81112799999
507.033,93155.96,26,91901.802505
507.067,93155.96,26,91906.189748
507.1,93155.96,26,91910.576991
507.133,93122.769,26,91914.964234
507.167,92981.408,32,91919.351477
507.2,93026.89,32,91922.21811999999
507.233,93868.936,33,91925.08476299999
507.267,93868.936,33,91927.95140600001
507.3,93868.936,33,91930.81804900001
507.333,93868.936,33,91927.56173500001
507.367,93868.936,33,91924.30542099998
507.4,93868.936,33,91921.049107
507.433,91985.706,30,91917.63667500002
507.467,91985.706,30,91911.22975900001
507.5,90873.224,28,91904.82284300002
507.533,90873.224,28,91898.415927
507.567,90873.224,28,91892.009011
507.6,91111.698,33,91886.147887
507.633,91111.698,33,91880.286763
507.667,91111.698,33,91874.425639
507.7,91111.698,33,91870.103551
507.733,91114.156,33,91872.99600500001
507.767,91114.156,33,91875.88845900001
507.8,91114.156,33,91878.78091299998
507.833,91114.156,33,91881.673367
507.867,90529.027,32,91884.565821
507.9,90529.027,32,91887.45827500001
507.933,90529.027,32,91890.350729
507.967,90529.027,32,91893.24318300001
508.0,90529.027,32,91893.605815
508.033,90529.027,32,91893.96844699999
508.067,90529.027,32,91894.331079
508.1,90529.027,32,91894.693711
508.133,90529.027,32,91895.056343
508.167,90529.027,32,91895.418975
508.2,90529.027,32,91895.833239
508.233,90529.027,32,91899.169458
508.267,90529.027,32,91896.688804
508.3,90529.027,32,91894.20814999999
508.333,90529.027,32,91891.727496
508.367,90529.027,32,91889.24684200001
508.4,90529.027,32,91886.766188
508.433,90529.027,32,91884.28553400001
508.467,90529.027,32,91881.31071700001
508.5,90529.027,32,91875.527036
508.533,98210.691,34,91875.815911
508.567,98210.691,34,91876.104786
508.6,98189.793,34,91876.393661
508.633,98189.793,34,91876.682536
508.667,98189.793,34,91876.97141099999
508.7,98189.793,34,91877.260286
508.733,98219.295,34,91877.549161
508.767,98219.295,34,91877.838036
508.8,88803.145,26,91878.12691100001
508.833,88773.643,26,91878.415786
508.867,88773.643,26,91878.704661
508.9,88773.643,26,91878.993536
508.933,88773.643,26,91879.282411
508.967,100219.30099999999,32,91879.57128599999
509.0,100219.30099999999,32,91879.860161
509.033,100219.30099999999,32,91880.149036
509.067,100289.36899999999,32,91880.437911
509.1,100289.36899999999,32,91874.126881
509.133,100670.443,33,91867.81585099999
509.167,100670.443,33,91861.504821
509.2,100670.443,33,91858.11820599998
509.233,90805.613,30,91854.731591
509.267,90805.613,30,91851.344976
509.3,90805.613,30,91847.958361
509.333,90805.613,30,91844.571746
509.367,90805.613,30,91843.16547200001
509.4,90259.821,29,91841.759198
509.433,90259.821,29,91840.35292399999
509.467,90259.821,29,91838.400858
509.5,90259.821,29,91836.44879200001
509.533,90259.821,29,91834.496726
509.567,90259.821,29,91832.54466
509.6,90259.821,29,91829.797259
509.633,90259.821,29,91827.04985800001
509.667,90259.821,29,91824.30245699998
509.7,90259.821,29,91821.555056
509.733,90259.821,29,91812.315923
509.767,90259.821,29,91803.07679
509.8,90259.821,29,91793.837657
509.833,90259.821,29,91784.598524
509.867,90259.821,29,91775.70850200001
509.9,90259.821,29,91766.81848
